[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 67
[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 68
[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 69
[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 70
[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 71
[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 72
[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 73
[2025-10-15 17:25:18.193] [core] [trace] pk/관직/번호: 74
[2025-10-15 17:25:18.193] [core] [trace] pk/관직/번호: 75
[2025-10-15 17:25:18.193] [core] [trace] pk/관직/번호: 76
[2025-10-15 17:25:18.193] [core] [trace] pk/관직/번호: 77
[2025-10-15 17:25:18.193] [core] [trace] pk/관직/번호: 78
[2025-10-15 17:25:18.193] [core] [trace] pk/관직/번호: 79
[2025-10-15 17:25:18.193] [core] [trace] pk/관직/번호: 80
[2025-10-15 17:25:18.193] [core] [info] 구역.xml
[2025-10-15 17:25:18.215] [core] [trace] pk/utf8: true
[2025-10-15 17:25:18.215] [core] [trace] pk/구역/번호: 0
[2025-10-15 17:25:18.215] [core] [trace] pk/구역/번호: 1
[2025-10-15 17:25:18.215] [core] [trace] pk/구역/번호: 2
[2025-10-15 17:25:18.217] [core] [trace] pk/구역/번호: 3
[2025-10-15 17:25:18.217] [core] [trace] pk/구역/번호: 4
[2025-10-15 17:25:18.217] [core] [trace] pk/구역/번호: 5
[2025-10-15 17:25:18.217] [core] [trace] pk/구역/번호: 6
[2025-10-15 17:25:18.217] [core] [trace] pk/구역/번호: 7
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 8
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 9
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 10
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 11
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 12
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 13
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 14
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 15
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 16
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 17
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 18
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 19
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 20
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 21
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 22
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 23
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 24
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 25
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 26
[2025-10-15 17:25:18.218] [core] [trace] pk/구역/번호: 27
[2025-10-15 17:25:18.219] [core] [trace] pk/구역/번호: 28
[2025-10-15 17:25:18.219] [core] [trace] pk/구역/번호: 29
[2025-10-15 17:25:18.219] [core] [trace] pk/구역/번호: 30
[2025-10-15 17:25:18.219] [core] [trace] pk/구역/번호: 31
[2025-10-15 17:25:18.219] [core] [trace] pk/구역/번호: 32
[2025-10-15 17:25:18.219] [core] [trace] pk/구역/번호: 33
[2025-10-15 17:25:18.219] [core] [trace] pk/구역/번호: 34
[2025-10-15 17:25:18.219] [core] [trace] pk/구역/번호: 35
[2025-10-15 17:25:18.219] [core] [trace] pk/구역/번호: 36
[2025-10-15 17:25:18.219] [core] [trace] pk/구역/번호: 37
[2025-10-15 17:25:18.219] [core] [trace] pk/구역/번호: 38
[2025-10-15 17:25:18.219] [core] [trace] pk/구역/번호: 39
